model,org,params_m,model_type,model_link,testdata_leakage,replication_code_available
Toto_Open_Base_1.0,Datadog,151.3,zero-shot,https://huggingface.co/Datadog/Toto-Open-Base-1.0,No,Yes
TTM-R3-PT,IBM TSFM,1.4,pretrained,https://huggingface.co/ibm-research/ttm-r3,No,Yes
Toto-2.0-4m,Datadog,4.1,pretrained,https://huggingface.co/Datadog/Toto-2.0-4m,No,Yes
TempoPFN,University of Freiburg,,zero-shot,https://github.com/automl/TempoPFN,No,Yes
recursive-moirai-2,Emilio Cantu,,pretrained,https://huggingface.co/emiliocantuc/recursive-moirai-2,No,Yes
CleanTS-65M,Shandong University,65.4,zero-shot,https://huggingface.co/EINK/CleanTS-65M,No,Yes
tabpfn_ts,PriorLabs,,zero-shot,https://github.com/liam-sbhoo/tabpfn-time-series/tree/main,No,Yes
TinyCast,RAWS Labs,0.1,zero-shot,https://huggingface.co/raws-labs/tinycast,No,Yes
Kairos_50m,ShanghaiTech University,50.1,zero-shot,https://huggingface.co/mldi-lab/Kairos_50m,No,Yes
YingLong_300m,Alibaba,310.1,zero-shot,https://huggingface.co/qcw2333/YingLong_300m,No,Yes
timesfm_2_0_500m,Google Research,,pretrained,https://huggingface.co/google/timesfm-2.0-500m-jax,Yes,Yes
Metamorph1.0,SRI International,,pretrained,,No,No
goia-forecast-nano-v0,Gredio,4.7,zero-shot,https://huggingface.co/gredio/goia-forecast-nano-v0,No,Yes
Kairos_10m,ShanghaiTech University,9.9,zero-shot,https://huggingface.co/mldi-lab/Kairos_10m,No,Yes
Kairos_23m,ShanghaiTech University,23.0,zero-shot,https://huggingface.co/mldi-lab/Kairos_23m,No,Yes
Metamorph1.0-4.5M,SRI International,,pretrained,,No,No
YingLong_110m,Alibaba,120.5,zero-shot,https://huggingface.co/qcw2333/YingLong_110m,No,Yes
PatchFM,LITIS,345.2,zero-shot,https://huggingface.co/vilhess/PatchFM,No,Yes
sundial_base_128m,Tsinghua University,128.3,zero-shot,https://huggingface.co/thuml/sundial-base-128m,No,Yes
YingLong_50m,Alibaba,36.3,zero-shot,https://huggingface.co/qcw2333/YingLong_50m,No,Yes
chronos_bolt_base,AWS AI Labs,205.3,pretrained,https://huggingface.co/amazon/chronos-bolt-base,Yes,Yes
chronos_bolt_small,AWS AI Labs,47.7,pretrained,https://huggingface.co/amazon/chronos-bolt-small,Yes,Yes
TTM-R2-Finetuned,IBM Research,0.8,fine-tuned,https://huggingface.co/ibm-granite/granite-timeseries-ttm-r2,Yes,Yes
PatchTST,Princeton University,,deep-learning,,No,No
FLAIR,Mellon Inc.,,statistical,https://github.com/TakatoHonda/FLAIR,No,Yes
Migas-1.0,Synthefy,,pretrained,To your HF model link,No,No
Moirai_large,Salesforce AI Research,311.0,zero-shot,https://huggingface.co/Salesforce/moirai-1.1-R-large,No,Yes
ValBestSingle-cmtt,N/A,,agentic,N/A,No,No
tft,Google Research,,deep-learning,,No,No
YingLong_6m,Alibaba,7.3,zero-shot,https://huggingface.co/qcw2333/YingLong_6m,No,Yes
Moirai_base,Salesforce AI Research,91.4,zero-shot,https://huggingface.co/Salesforce/moirai-1.1-R-base,No,Yes
Reverso,MIT,,zero-shot,,No,No
TimeTron-v2-33M,Corteri Intelligence,46.1,pretrained,https://huggingface.co/CorteriIntelligence/TimeTron-v2-33M,Yes,No
iTransformer,Tsinghua University,,deep-learning,,No,Yes
Lingjiang,Alibaba Cloud,,zero-shot,,No,No
litespecformer,FlowVortex (Xidian University),36.7,zero-shot,https://huggingface.co/FlowVortex/LiteSpecFormer-1.0-36M,No,Yes
Reverso-Small,MIT,,zero-shot,https://huggingface.co/shinfxh/reverso/tree/main/checkpoints/reverso_small,No,Yes
chronos_large,AWS AI Labs,709.0,pretrained,https://huggingface.co/amazon/chronos-t5-large,Yes,Yes
Moirai_small,Salesforce AI Research,311.0,zero-shot,https://huggingface.co/Salesforce/moirai-1.1-R-large,No,Yes
chronos_base,AWS AI Labs,201.4,pretrained,https://huggingface.co/amazon/chronos-t5-base,Yes,Yes
Reverso-Nano,MIT,,zero-shot,,No,No
Chronos_small,AWS AI Labs,46.2,pretrained,https://huggingface.co/amazon/chronos-t5-small,Yes,Yes
timesfm,Google Research,,pretrained,https://huggingface.co/google/timesfm-1.0-200m,Yes,Yes
FFM,IBM Research,,deep-learning,TBD,No,No
Super-Linear,Ben-Gurion University of the Negev,,pretrained,https://huggingface.co/SequentialLearning/SuperLinear,Yes,Yes
visionts,Zhejiang University,,zero-shot,https://github.com/Keytoyze/VisionTS,No,No
